family;variation;algorithm
One-Way Hash Functions;Optional Key?;BLAKE2
Graph Diameter;Arbitrary edge weights, Dense graph;Dense APSP algorithm
Graph Diameter;Arbitrary edge weights, Sparse graph;Sparse APSP algorithm
Graph Diameter;Unweighted;Binary representation search with matrix multiplication
Graph Diameter;Bounded integer weights;Cygan, Gabow, Sankowski
Online Matrix Vector Multiplication (OMV);;Williams
Online Matrix Vector Multiplication (OMV);;Larsen, Williams (Theorem 1.1)
Online Matrix Vector Multiplication (OMV);;Larsen, Williams (follows from Theorem 2.1)
Negative Triangle;;
Sorting - Comparison;;Parallel Merge Sort - Cole (1)
Sorting - Comparison;;Parallel Merge Sort - Cole (2)
Maximum Flow;;MKM Algorithm
Maximum Flow;;Galil
Maximum Flow;;Shiloach
Maximum Flow;;Gabow
Maximum Flow;;Lee, Sidford
Maximum Flow;;Madry
Maximum Flow;;Kathuria, Liu, Sidford
Maximum Flow;;Kathuria, Liu, Sidford
Maximum Flow;;Brand et al
Maximum Flow;;Gao, Liu, Peng
Maximum Flow;;Chen et al
Matrix Multiplication;;Method of Four Russians
Matrix Multiplication;;Alman, Vassilevska Williams
5 - Graph Coloring;;Byskov
5 - Graph Coloring;;Bjorklund, Husfeldt, Theorem 1
5 - Graph Coloring;;Bjorklund, Husfeldt, Proposition 2
5 - Graph Coloring;;Zamir
6 - Graph Coloring;;Byskov, Theorem 14
6 - Graph Coloring;;Byskov, Theorem 20
6 - Graph Coloring;;Bjorklund, Husfeldt, Theorem 1
6 - Graph Coloring;;Bjorklund, Husfeldt, Proposition 2
6 - Graph Coloring;;Zamir
Chromatic Number;;Christofides
Chromatic Number;;Lawler
Chromatic Number;;Eppstein
Chromatic Number;;Byskov
Chromatic Number;;Bjorklund, Husfeldt, Theorem 1
Chromatic Number;;Bjorklund, Husfeldt, Proposition 2
Chromatic Number;;Koivisto
#2 - Graph Coloring;;BFS/DFS for connected components
#3 - Graph Coloring;;Angelsmark, Jonsson
#3 - Graph Coloring;;Fürer, Kasiviswanathan
#3 - Graph Coloring;;Fomin; Gaspers & Saurabh
#4 - Graph Coloring;;Fomin; Gaspers & Saurabh
Chromatic Polynomial;;Zykov (deletion-contraction)
Chromatic Polynomial;;Bjorklund, Husfeldt, Proposition 3
Chromatic Polynomial;;Koivisto
Linear system of equations;General;LU decomposition
Linear system of equations;General;Matrix inverse
